emp_length,annual_income,dti,loan_amount,total_acc,is_employed,date_diff,location_Northeast,location_South,location_West,wealth_low,wealth_med,law_regulations_moderate,law_regulations_restrictive,purpose_grouped_credit card,purpose_grouped_other,verification_status_Source Verified,verification_status_Verified,loan_status_Current,loan_status_Fully Paid,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,60_month_term
0.2877441470500732,-1.587633493091064,-0.8216886416806666,-0.913897766204068,-0.0906129537836486,0.1967751205274496,0.0899934478334566,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-1.3963307334622734,-1.227715976932576,-0.5111607992927367,-0.8847030628279363,-0.27272639054295,0.1967751205274496,2.6638621023673577,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.2877441470500732,-0.3752923095014675,1.5365227990624537,-0.7387295459472777,0.4557273564942554,-5.081943272704047,0.3317811093199746,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.2877441470500732,0.0294159513638454,-1.4502449989779742,-0.6949374908830801,-1.0922368559598064,0.1967751205274496,-1.352932919102215,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.8349724399581578,-1.000714495637837,0.2299056458262847,-0.7387295459472777,-1.456463729478409,0.1967751205274496,2.453272848814584,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-1.3963307334622734,-2.1541609294303776,1.2409963017174188,-0.921196442048101,-0.5458965456819022,0.1967751205274496,-0.6275699346426611,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1.4104607340583042,-0.5413642524473481,-0.8936950978865634,-0.913897766204068,-1.3654070110987584,0.1967751205274496,0.7685588203923941,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1.4104607340583042,0.9328180394293076,-0.7811850100648497,-0.3008089953053017,-0.27272639054295,0.1967751205274496,0.5501699648561844,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
-1.1156515867102157,-0.3752923095014675,-1.234225630360284,-1.3445196410020113,2.094748287327968,0.1967751205274496,2.2114851873280656,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
-1.3963307334622734,-1.3624559309410615,-0.4676568986683407,-1.001481876332463,0.5467840748739061,0.1967751205274496,-0.1283954077027531,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0.2877441470500732,-0.3752923095014675,1.8785534660404637,-0.7387295459472777,-0.5458965456819022,0.1967751205274496,0.3005827013862304,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0.568423293802131,-1.227715976932576,0.8089575644820381,-0.5635613256904872,0.2736139197349541,0.1967751205274496,-1.352932919102215,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
-0.5542932932061001,-1.7254434343929728,-1.2102234782916514,-1.2642342067176489,-1.7296338846173611,0.1967751205274496,-0.1595938156364973,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
-1.1156515867102157,-2.7838294130041983,-1.9992942275479373,-0.5197692706262896,-1.183293574339457,0.1967751205274496,-1.5947205805887328,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.0070650002980154,-1.1682469727082103,-1.760772841365904,-0.8044176285435741,-1.5475204478580598,0.1967751205274496,0.5813683727899286,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.8491024405541887,0.7577316381759983,-1.9152866953077243,1.5968467241432611,-0.27272639054295,0.1967751205274496,0.3083823033696664,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
-0.5542932932061001,-0.4923434100851265,0.1969026867319152,-0.1548354784246429,-0.3637831089226007,0.1967751205274496,-0.3701830691892711,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.4104607340583042,-0.7061430279940393,1.448014863309372,-0.4467825121859603,1.9126348505686663,0.1967751205274496,1.2599337453488662,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
-1.3963307334622734,-0.3085241129664149,0.6109398099158216,-0.8847030628279363,-0.8190667008208542,0.1967751205274496,0.3395807113034107,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0.8491024405541887,-2.4848176791358547,0.5329328156927671,-1.147455393213122,-0.27272639054295,0.1967751205274496,-0.1595938156364973,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
-0.8349724399581578,-0.3752923095014675,0.6304415584715857,-0.7387295459472777,-0.7280099824412035,0.1967751205274496,-0.8381591881954348,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
-1.3963307334622734,-0.825916419183696,-0.8411903902364303,-1.1766500965892537,-0.7280099824412035,0.1967751205274496,2.453272848814584,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.568423293802131,1.0443790509131168,0.0258873532429104,0.0203327418321474,0.6378407932535568,0.1967751205274496,-0.3857822731561431,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
-0.8349724399581578,-2.4848176791358547,0.1008940784573863,-1.030676579708595,-0.8190667008208542,0.1967751205274496,-2.0548970976114607,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
-0.2736141464540423,0.002004782488996,-0.0686211205273291,-1.1766500965892537,-0.8190667008208542,0.1967751205274496,-1.3373337151353428,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
-0.2736141464540423,1.3750530727609227,0.2944114295107339,-0.7387295459472777,0.000443764596002,0.1967751205274496,0.0743942438665845,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-1.3963307334622734,1.9500101421810945,-1.891284543239092,-0.1548354784246429,1.7305214138093652,0.1967751205274496,0.0509954379162763,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-1.3963307334622734,0.0294159513638454,-0.6581739807131094,-0.1548354784246429,0.4557273564942554,0.1967751205274496,-0.1439946116696252,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.0070650002980154,-0.70596165329873,0.8089575644820381,-0.4467825121859603,1.1841811035314609,0.1967751205274496,1.002546879895476,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1.1297815873062464,2.2130422028285923,-1.2732291274718113,-0.7387295459472777,0.000443764596002,0.1967751205274496,1.977497127824984,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1.4104607340583042,0.3600878140949058,1.386509348633502,-0.8847030628279363,2.003691568948317,0.1967751205274496,0.3161819053531025,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
-0.8349724399581578,-3.220149945980992,-1.9992942275479373,-0.9576898212682656,-1.456463729478409,0.1967751205274496,1.961897923858112,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1.4104607340583042,0.0888859306486324,0.1113950199874126,-0.0088619615439843,0.0915004829756526,0.1967751205274496,0.5501699648561844,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
-1.3963307334622734,-1.3017523750878186,-1.9992942275479373,-1.1036633381489245,-1.5475204478580598,0.1967751205274496,1.0571440937795284,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
-0.8349724399581578,-0.3012549037890782,-1.2402261683774418,-0.7387295459472777,-0.0906129537836486,0.1967751205274496,1.961897923858112,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.5542932932061001,-0.8473569500910573,0.5119309326327136,-0.811716304387607,1.2752378219111116,0.1967751205274496,0.3161819053531025,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
-1.3963307334622734,-0.1528614322325211,-0.1421277112375156,-1.1036633381489245,0.0915004829756526,0.1967751205274496,0.3161819053531025,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
